date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:36	124828/124828	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202023%2008:36:30%20GMT	https://hakolab.site/wedding/assets/img/card/logo-bca.png	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/card/logo-bca.png	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:36	37268/37268	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Dec%202023%2008:34:16%20GMT	https://hakolab.site/wedding/assets/img/card/logo-shopee.png	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/card/logo-shopee.png	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:37	83316/83316	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202025%2006:35:37%20GMT	https://wedding-nobita-dan-shizuka.disqus.com/embed.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/wedding-nobita-dan-shizuka.disqus.com/embed.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:37	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-155ed%22	https://code.jquery.com/jquery-3.7.1.min.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/code.jquery.com/jquery-3.7.1.min.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:38	80663/80663	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b17-9/0PPchLLPk7+B6DJQWmc/NU4KM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdn.jsdelivr.net/npm/bootstrap@5.3.2/dist/js/bootstrap.bundle.min.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:38	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/unpkg.com/aos@2.3.1/dist/aos.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:39	9754/9754	---M-Z	200	added ('OK')	application/javascript	etag:%2263f54efd-ba8%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/js/lightbox.min.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/js/lightbox.min.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:40	76584/76584	---M-Z	200	added ('OK')	application/javascript	etag:W/%2212b28-cjcSNvnYbsEv95wMhNhqWdHNFsQ%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.10.3/dist/sweetalert2.all.min.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdn.jsdelivr.net/npm/sweetalert2@11.10.3/dist/sweetalert2.all.min.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:40	6065669/6065669	---M--	200	added ('OK')	audio/mpeg	date:Thu,%2011%20Jan%202024%2014:37:28%20GMT	https://hakolab.site/wedding/assets/audio/wedding.mp3	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/audio/wedding.mp3	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:40	24103/24103	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e27-0gJSz3bDvorzeoQV0TrTaMditNg%22	https://cdn.jsdelivr.net/npm/masonry-layout@4.2.2/dist/masonry.pkgd.min.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdn.jsdelivr.net/npm/masonry-layout@4.2.2/dist/masonry.pkgd.min.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:41	4578/4578	---M--	200	added ('OK')	application/javascript	date:Sat,%2001%20Feb%202025%2003:54:41%20GMT	https://hakolab.site/wedding/assets/js/script.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/js/script.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:42	219/219	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2016%20Feb%202025%2006:35:42%20GMT	http://wedding-nobita-dan-shizuka.disqus.com/count.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/wedding-nobita-dan-shizuka.disqus.com/count.30.delayed	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:43	1517/1517	---M-Z	200	added ('OK')	application/javascript	etag:%2267ae7924-367%22	https://wedding-nobita-dan-shizuka.disqus.com/count.js	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/wedding-nobita-dan-shizuka.disqus.com/count.js	(from https://hakolab.site/wedding/index.html?p=Bpk&n=Haus+Coding)
12:05:49	8476/8476	---M-Z	200	added ('OK')	image/gif	etag:%2263f54efd-1eb2%22	https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/images/loading.gif	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/images/loading.gif	(from https://cdnjs.cloudflare.com/ajax/libs/lightbox2/2.11.4/css/lightbox.min.css)
12:05:54	135545/135545	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Dec%202023%2014:34:32%20GMT	https://hakolab.site/wedding/assets/img/penutup.jpg	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/penutup.jpg	(from https://hakolab.site/wedding/assets/css/style.css)
12:05:56	509319/509319	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202023%2008:11:04%20GMT	https://hakolab.site/wedding/assets/img/foto-pengantin.jpg	C:/Users/Subbu/Desktop/New%20folder/wedding%20site/hakolab.site/wedding/assets/img/foto-pengantin.jpg	(from https://hakolab.site/wedding/assets/css/style.css)
